key;en;de
general_archive;Archive;Archiv
general_episodes:Episodes;Folgen
info_title_twitch;Twitch;Twitch
info_description_twitch;Here you can catch my live streams;Hier finden meine Livestreams statt
info_title_youtube;Youtube;Youtube
info_description_youtube;Main channel for video content;Mein Hauptkanal für Youtube Videos
info_title_archive;Stream Archive;Streamarchiv
info_description_archive;Here you can find recordings of past live streams;Ein Ort für Aufnahmen von vergangenen Livestreams
info_title_discord;Discord;Discord
info_description_discord;A community gather point.;Ein Platz für die Community
